age,salary,credit_score,loan_amount,existing_loans,employment_years,monthly_income,repayment_history,approval_decision
53,103883.46,747,169053.17,1,15.0,8657.65,95,approved
54,180440.27,741,496243.72,2,28.8,15093.27,74,approved
62,70036.7,793,137058.28,1,31.4,5723.75,81,approved
42,77772.17,842,321660.64,2,0.8,6463.94,80,approved
44,69365.85,714,125983.66,4,10.7,5548.25,67,approved
64,177233.7,780,519407.62,4,39.8,15238.35,86,approved
50,158720.68,744,459666.01,3,18.1,13362.1,71,approved
47,71521.46,538,183118.82,1,12.2,6140.9,46,approved
62,107385.01,849,179533.26,1,26.3,9114.44,100,approved
40,66382.15,699,155081.17,2,16.6,5667.7,66,approved
45,59770.16,702,206928.05,2,12.0,5055.92,74,approved
62,159633.8,601,528749.09,0,17.1,12894.68,75,manual_review
27,34345.23,562,69657.58,0,5.2,2879.74,46,manual_review
52,56008.1,606,73902.58,1,13.6,4768.04,61,manual_review
60,72202.15,713,204831.63,0,32.6,5990.67,66,approved
64,96534.77,834,433250.43,1,27.3,8308.84,99,approved
58,94394.7,749,266786.79,1,20.3,8018.92,99,approved
46,88208.09,834,172716.18,2,19.8,7477.07,100,approved
64,105835.34,790,432004.51,1,20.6,8762.97,85,approved
46,97035.07,721,151675.62,1,20.6,8155.02,65,approved
44,71572.92,695,156960.37,1,13.8,6002.34,64,approved
35,75504.6,771,319330.91,2,8.3,6491.12,91,approved
29,68059.78,770,103887.89,3,6.8,5841.82,85,approved
33,76453.2,709,109920.1,4,8.5,6474.26,54,approved
64,159227.88,729,367671.34,2,23.6,13274.6,73,approved
38,57396.97,782,157630.87,3,14.3,4848.98,69,approved
55,158246.98,820,633291.29,1,20.0,13225.75,99,approved
36,26818.57,496,54808.03,1,12.1,2342.13,49,manual_review
27,67778.08,704,253189.78,1,6.1,5456.57,80,approved
27,30072.77,632,54982.6,0,5.9,2570.88,57,approved
57,64967.11,757,228641.8,0,20.9,5573.83,89,approved
35,62102.22,800,286308.03,1,12.0,5270.91,82,approved
25,68552.0,792,193951.33,2,3.7,5480.77,81,approved
36,84328.7,431,225099.29,1,7.4,6824.51,31,approved
63,83311.93,731,254038.84,2,9.1,7107.07,81,approved
52,83370.12,838,212137.92,0,24.1,7149.34,100,approved
52,183540.42,714,649542.84,2,22.1,15720.74,86,approved
43,149282.11,847,425394.41,0,23.5,12492.74,94,approved
30,78546.14,622,165076.26,2,8.0,6844.0,35,approved
51,151680.41,735,638089.25,1,33.0,12829.3,68,approved
37,60775.47,670,73769.89,3,19.0,5146.09,51,approved
44,53616.75,621,163220.04,1,21.4,4373.76,55,approved
55,172335.19,750,312612.26,3,27.5,13905.77,60,approved
31,40906.51,706,54804.79,1,2.3,3420.11,64,approved
52,64270.15,666,196297.48,0,34.0,5341.29,74,approved
63,67524.13,817,126089.26,0,19.4,5848.45,90,approved
29,31611.49,624,41092.35,2,1.9,2533.15,55,manual_review
65,81564.06,706,128841.65,2,23.2,6970.67,92,approved
30,93935.0,687,274941.32,0,6.2,7657.23,86,approved
39,149618.69,703,300975.56,0,16.2,11923.11,71,approved
53,199401.86,727,642745.52,2,19.7,16584.02,70,approved
35,53427.51,806,154878.98,2,8.2,4553.19,92,approved
42,64595.42,794,191652.98,2,20.6,5361.88,100,approved
35,90952.47,788,151697.82,3,16.0,7728.2,80,approved
28,59915.15,734,202484.92,0,6.5,4936.03,93,approved
36,125149.22,708,453981.93,5,16.1,10437.73,68,approved
40,68977.23,794,293413.37,0,15.0,5779.73,100,approved
39,50798.79,688,166682.85,0,12.5,4268.45,62,approved
45,97724.52,771,349264.34,3,16.3,8286.89,69,approved
26,78793.4,590,313631.39,1,6.5,6822.73,59,manual_review
22,41288.13,589,111075.82,1,1.4,3363.13,66,approved
46,53451.23,743,148493.33,2,19.1,4495.72,77,approved
49,124308.41,840,244679.65,2,14.9,10099.33,100,approved
57,119217.29,762,380521.16,3,27.0,9844.54,69,approved
25,38564.04,848,126602.44,2,3.7,3094.8,100,approved
50,64037.38,764,194483.82,2,17.7,5088.52,86,approved
64,161282.75,781,517524.71,1,24.8,13542.58,85,approved
59,49749.29,589,50419.12,0,39.2,4060.74,44,approved
62,151562.6,748,362670.88,4,35.1,12342.18,79,approved
23,41724.49,605,105214.71,0,1.5,3535.98,69,approved
35,75415.22,797,190225.16,0,16.4,6218.17,75,approved
52,64708.34,611,60318.21,0,15.8,5236.18,48,manual_review
37,180235.07,504,565680.33,1,5.8,14545.37,37,manual_review
36,49118.6,788,212693.61,0,11.6,4167.89,84,approved
22,31541.93,371,45299.07,0,1.0,2683.18,21,rejected
22,28202.7,622,53376.78,0,1.1,2268.09,54,manual_review
57,88084.83,694,267174.99,2,27.4,7545.9,53,approved
59,182910.04,845,421776.49,2,34.2,15596.94,89,approved
46,54656.27,717,173900.23,1,28.0,4361.12,83,manual_review
27,32309.93,675,88070.85,2,3.4,2681.38,91,approved
37,49463.14,824,108517.64,1,13.0,4254.44,100,approved
58,67574.87,590,70168.24,0,17.5,5414.81,53,approved
31,40205.19,491,85244.52,3,4.6,3279.47,35,manual_review
25,28155.34,678,100974.84,2,5.7,2419.04,74,approved
53,110821.74,783,362223.74,0,8.7,9145.27,88,approved
37,181527.63,639,246435.73,1,10.9,14790.59,51,approved
62,160796.71,782,304557.41,5,21.7,13810.77,67,approved
38,43485.96,711,144832.71,1,12.2,3523.0,70,approved
27,32158.01,689,80631.64,1,3.8,2632.41,66,approved
36,68508.53,746,87979.24,4,14.4,5523.86,71,approved
54,156724.02,819,438693.54,0,17.6,13138.06,100,approved
36,63292.9,747,235922.51,2,13.9,5223.57,98,approved
45,102867.4,825,228996.27,3,13.5,8548.01,93,approved
53,86711.52,829,231341.86,1,17.4,7205.17,97,approved
53,193646.94,814,729840.02,4,35.0,16862.97,80,approved
25,43214.53,591,72030.73,1,0.6,3777.89,54,approved
55,77341.92,746,176218.28,2,13.8,6594.01,89,approved
42,28679.04,638,59122.55,0,14.5,2432.86,68,approved
28,64242.56,753,172558.62,2,10.0,5365.98,61,approved
33,33293.04,697,96856.43,1,3.7,2794.15,70,approved
22,37007.52,768,70063.97,0,2.8,2975.71,74,approved
50,194997.42,821,457439.57,0,16.5,15914.74,93,approved
39,108630.48,756,463442.76,5,21.0,8662.97,67,approved
64,72174.24,826,310865.83,1,30.9,6099.12,82,approved
54,59267.02,703,130296.12,1,15.8,5155.08,62,approved
47,61592.73,795,275097.47,3,20.1,5132.44,96,approved
46,163676.39,653,323698.3,0,15.9,14048.67,62,approved
30,154976.76,810,286445.0,1,7.0,12374.45,96,approved
44,58940.23,760,94752.21,2,25.2,4838.02,89,approved
35,67056.63,643,198818.11,1,12.8,5437.95,63,manual_review
34,60518.4,763,181059.08,2,13.8,5072.73,73,approved
58,150855.53,827,722098.81,0,21.3,12823.57,95,approved
28,43347.03,518,50666.99,0,4.6,3456.77,39,approved
23,34003.79,709,95045.01,0,3.1,2857.06,71,manual_review
31,63629.32,815,225568.35,0,9.2,5517.92,100,approved
33,66032.62,776,321376.34,1,10.8,5511.87,100,approved
41,58719.81,396,147679.98,2,12.9,5027.38,42,approved
40,58673.99,646,139136.83,1,10.5,5025.2,49,manual_review
35,71408.09,672,101229.32,2,11.7,5983.24,63,approved
33,59832.0,642,130059.38,2,10.9,4834.17,50,approved
25,44465.71,759,101707.54,2,3.1,3729.01,81,approved
62,65656.13,604,130125.15,4,18.5,5545.83,27,approved
49,55366.06,315,92722.95,0,8.1,4783.35,17,approved
25,62172.14,806,248306.34,2,3.2,5168.86,69,approved
44,70963.48,823,270191.8,0,18.3,6105.49,88,approved
60,168037.7,701,316084.56,0,19.8,14419.67,73,approved
52,84751.41,684,231585.55,0,19.5,7181.39,79,approved
47,62110.88,406,124099.57,0,17.9,5241.09,9,manual_review
42,83975.72,713,356854.47,0,16.0,6932.49,67,approved
24,31112.57,720,128830.45,0,3.6,2670.75,81,manual_review
42,123831.39,585,452154.81,0,18.8,10582.16,56,approved
37,25778.86,677,78689.39,1,10.7,2094.78,52,approved
27,47282.99,824,251798.07,4,8.2,3831.32,80,manual_review
32,148043.3,788,550645.07,3,10.6,12139.59,84,approved
25,32809.28,710,52656.09,4,4.3,2643.19,62,manual_review
50,163087.05,743,344521.16,2,27.0,13282.47,68,approved
47,118933.82,746,313831.07,4,23.8,10017.94,79,approved
29,81981.01,601,277221.83,0,7.8,6650.74,55,approved
41,80220.48,777,268953.91,1,13.7,6868.03,80,approved
52,171346.6,809,860560.1,2,23.8,13819.54,80,approved
31,71615.0,803,170324.97,2,8.2,5798.78,93,approved
58,84847.66,795,424998.81,2,29.5,7243.55,85,approved
56,73573.28,822,356209.32,2,16.4,6293.16,100,approved
40,62858.05,734,190932.65,4,10.5,5067.74,62,approved
55,180604.54,780,711802.76,4,28.8,14991.9,94,approved
62,61735.85,670,129774.42,1,18.3,5156.96,70,approved
57,187372.37,825,905790.48,2,14.4,15217.97,82,approved
41,73062.53,709,213037.59,2,9.0,6231.72,66,manual_review
42,128530.07,815,579540.16,1,15.1,10797.97,92,approved
51,52728.47,603,117597.33,1,24.8,4424.29,52,approved
63,57404.61,837,119820.01,2,20.7,4610.69,88,approved
24,80626.96,840,288097.37,3,3.6,6724.1,100,approved
48,153764.62,755,527255.55,3,17.1,12389.53,81,approved
32,116361.29,671,359556.07,1,7.3,9772.41,68,manual_review
55,48099.0,818,205433.04,3,23.7,4066.3,68,approved
49,129540.53,816,483448.51,4,21.9,11014.33,88,approved
54,45541.07,723,177113.5,1,22.4,3758.04,70,manual_review
22,49065.83,814,275223.8,4,2.3,4217.25,78,approved
63,58756.47,675,145094.37,1,18.7,5068.5,65,approved
26,73226.73,831,215821.43,1,8.0,5964.94,100,approved
34,77140.39,556,202149.88,3,8.5,6361.87,46,approved
36,72528.95,742,86260.45,0,9.8,5758.16,61,approved
34,44367.49,711,146475.18,2,13.7,3525.12,73,approved
40,81495.8,714,178158.88,4,14.0,6826.35,74,approved
58,63937.24,587,109505.7,2,34.3,5493.55,61,approved
40,66233.56,704,188341.05,1,10.3,5434.34,61,approved
40,52318.33,608,110037.85,1,12.7,4408.92,53,manual_review
47,194848.01,691,349540.6,2,17.1,16733.36,77,approved
25,40008.8,612,110628.82,2,5.2,3360.98,47,manual_review
36,49131.65,793,88520.05,3,5.7,4042.05,90,approved
53,63871.11,708,279672.91,3,5.5,5093.39,83,approved
63,199827.22,830,1094562.14,5,34.7,16074.6,72,approved
41,63162.82,681,274169.57,2,7.8,5451.21,79,manual_review
65,46051.23,681,140143.51,0,35.7,3714.91,62,manual_review
38,150710.75,760,672920.05,1,8.3,12287.02,88,approved
58,50496.45,777,81622.88,1,14.6,4117.16,76,approved
58,153568.09,778,590690.26,0,40.0,12212.26,91,approved
63,90504.69,762,138692.95,1,7.2,7843.66,87,approved
34,61891.41,777,215265.74,2,5.5,5354.39,95,approved
52,166335.36,742,370660.08,1,7.8,14018.38,72,approved
44,51189.31,774,187108.43,1,22.7,4090.01,77,approved
55,147811.02,787,517768.51,1,14.8,12012.74,74,approved
57,100371.43,728,334517.83,0,15.9,8383.42,72,approved
50,159451.94,752,347604.17,1,8.2,13395.6,78,approved
30,60770.67,734,180896.82,1,7.7,5290.27,69,approved
52,74842.5,761,398594.75,1,28.4,6422.81,78,manual_review
43,55914.37,841,289924.81,1,10.4,4653.67,100,approved
29,65829.65,796,256999.04,2,6.9,5444.39,88,approved
48,129573.92,754,286316.42,2,10.9,10605.94,82,approved
56,143324.16,706,335259.72,0,28.6,12374.93,83,approved
55,139517.44,790,499800.94,0,29.8,11169.63,75,approved
52,57160.29,724,215638.13,2,21.4,4784.23,71,approved
59,128259.3,819,377161.97,1,11.6,10796.68,100,approved
55,73290.45,766,376646.86,4,22.6,6010.28,83,approved
53,62373.95,624,92001.6,0,35.0,4969.88,54,approved
64,171128.87,663,350803.62,1,29.0,14349.81,76,approved
56,56358.23,649,216032.48,1,13.7,4608.81,66,manual_review
38,146461.42,738,246410.98,0,11.3,11975.53,96,approved
37,128953.5,773,396456.52,1,12.5,11113.18,100,approved
36,124978.58,717,318462.84,0,15.5,10105.73,77,approved
37,164087.63,648,606659.04,4,9.5,13897.19,48,approved
63,181746.42,673,563786.57,0,40.0,15734.36,82,approved
33,58704.56,624,161310.32,0,10.8,5127.12,54,approved
47,106405.24,704,249349.91,2,15.0,8879.31,75,approved
60,182311.25,798,767354.94,2,35.5,14766.04,90,approved
46,155547.24,774,518489.14,1,28.0,12697.52,81,approved
23,34211.07,763,125408.85,2,3.1,2786.34,82,approved
62,180798.45,793,396253.6,1,21.5,14555.63,65,approved
42,64362.64,748,180210.1,2,13.7,5311.32,77,approved
48,115273.5,764,544161.15,0,19.8,9388.18,92,approved
52,136399.99,751,541903.22,3,20.4,11501.11,89,approved
40,83256.15,801,157624.91,2,12.0,6835.43,89,approved
28,26620.0,723,47923.22,1,7.5,2131.86,69,approved
28,84550.23,757,174436.98,2,10.0,7105.7,65,approved
54,55172.27,810,231062.11,4,17.4,4689.59,77,approved
32,28759.35,804,178340.6,4,6.0,2435.41,73,approved
54,157499.9,806,472443.9,3,19.3,12757.6,79,approved
