age,salary,credit_score,loan_amount,existing_loans,employment_years,monthly_income,repayment_history,approval_decision
49,129535.11,741,212613.47,2,22.6,10416.8,85,approved
32,75577.31,771,351729.25,3,5.4,6376.67,77,approved
53,93508.72,676,376789.49,0,20.1,7452.0,67,approved
59,188885.0,747,641055.87,3,25.1,15180.09,81,approved
63,122636.65,821,457842.83,0,26.0,10002.81,96,approved
22,58132.49,725,127260.05,0,1.6,4624.66,64,approved
52,145736.11,819,810632.12,1,16.2,12640.81,81,manual_review
45,195885.56,760,556156.09,0,11.4,16233.21,84,approved
55,119214.05,765,289974.6,0,22.6,9737.99,88,approved
36,77852.49,753,239815.06,3,16.2,6434.79,74,approved
44,46402.85,792,109586.29,1,11.9,3938.84,83,approved
35,157212.81,826,729320.49,0,9.9,13376.34,88,approved
47,60967.23,707,94279.93,3,8.9,4950.91,70,approved
26,59385.47,705,102367.84,4,4.8,4723.98,58,approved
27,70558.23,848,363232.91,0,3.9,6089.88,94,manual_review
49,61093.05,761,182090.36,0,16.0,5189.38,94,approved
53,76287.76,829,288343.45,1,22.2,6473.01,100,approved
23,35467.44,827,161714.78,4,3.5,2989.98,94,approved
27,78792.23,608,174594.93,3,3.6,6392.84,45,manual_review
56,49516.41,766,219206.28,3,14.3,4248.75,75,approved
57,84313.54,786,281357.22,3,19.0,6988.76,85,approved
23,35860.25,670,122286.42,2,3.8,3057.62,57,approved
43,120765.32,820,475419.67,0,20.0,9831.96,94,approved
64,71180.89,699,239973.02,1,18.1,5668.8,71,approved
34,50333.7,720,132427.18,1,6.4,4216.85,74,approved
51,90232.99,829,377996.28,1,19.2,7741.79,88,approved
38,73326.07,773,279429.96,4,10.8,6050.9,85,approved
39,42847.41,585,107526.86,2,9.2,3583.9,74,approved
31,60712.31,687,132096.06,2,10.6,4885.74,80,approved
23,65086.4,749,108341.77,2,2.7,5651.91,85,approved
49,64259.75,644,120180.08,1,12.3,5214.45,69,approved
27,40798.23,420,150980.55,1,6.2,3359.82,18,rejected
38,52157.14,695,143059.46,3,12.5,4333.8,68,approved
39,80190.68,776,337137.0,3,15.8,6676.15,85,approved
28,36063.53,846,172937.58,0,7.0,3120.73,98,approved
28,32871.92,617,95825.01,1,6.1,2668.7,58,approved
51,83547.49,816,313487.97,2,17.3,7059.59,82,approved
36,189471.31,775,572715.71,1,13.8,16573.25,81,approved
55,65969.36,727,178891.58,1,30.2,5226.2,68,approved
52,60196.38,832,110568.7,2,19.0,4984.62,100,approved
44,70236.42,682,194446.23,3,13.2,5836.2,46,approved
53,83017.69,788,286123.64,4,16.8,6864.95,65,approved
23,32912.35,727,118968.32,1,2.7,2626.43,100,approved
65,52025.75,731,160555.56,2,33.7,4526.69,83,approved
64,158982.3,680,544008.69,3,19.2,13417.61,65,manual_review
55,104681.29,827,206688.23,2,36.2,9146.06,100,approved
38,52012.87,779,212676.14,1,8.1,4413.82,98,approved
54,127991.61,769,554937.71,2,25.2,10341.24,84,approved
25,31283.35,635,51821.95,2,3.1,2675.38,50,approved
50,121828.95,753,308054.1,3,28.5,9831.0,72,approved
64,134133.43,825,609501.74,0,39.8,11184.34,92,approved
49,163181.95,761,445360.94,2,22.5,13197.45,88,approved
64,59532.94,711,248345.94,2,35.2,4793.77,65,approved
51,50736.74,584,169528.46,1,14.6,4398.1,57,manual_review
27,59917.29,670,169448.06,0,7.5,4909.26,78,approved
29,26564.11,515,59400.51,3,6.9,2117.99,41,approved
30,70337.28,787,189271.65,1,7.9,5956.69,91,approved
23,42848.65,643,115785.82,0,3.1,3516.52,71,approved
48,55744.72,787,219214.2,4,18.4,4673.68,75,approved
24,30672.06,730,132124.43,1,5.4,2676.09,90,approved
55,117837.44,700,388668.62,2,26.4,9678.21,70,approved
48,65608.71,319,114731.1,2,20.2,5679.09,2,manual_review
39,69870.38,681,157832.79,0,11.8,5554.78,68,approved
28,62731.25,806,347475.95,2,8.1,5367.29,100,approved
57,139190.68,683,522154.31,3,25.1,12051.13,64,approved
45,69869.06,797,199284.43,0,21.2,5566.69,90,approved
35,59196.71,842,177349.35,0,11.2,4831.74,91,approved
42,41912.86,796,160722.6,1,7.2,3435.56,90,approved
31,82129.81,830,332063.58,1,9.4,6581.23,94,approved
43,172069.24,692,575730.28,2,19.5,13778.15,83,approved
51,180763.16,679,464331.04,1,26.0,15782.61,64,approved
40,26821.08,605,82762.22,0,14.2,2267.99,73,approved
63,71946.5,801,319459.39,2,20.9,6182.87,93,approved
41,77906.25,836,258546.69,3,18.3,6396.59,84,approved
41,66166.98,804,234674.39,4,16.8,5614.85,91,approved
23,25773.27,379,31013.0,1,1.8,2094.8,11,rejected
45,130810.86,690,235391.18,0,21.0,10948.57,69,approved
55,122045.2,773,201790.11,1,32.7,10528.81,87,approved
43,165480.3,829,633148.95,3,19.8,13977.99,91,approved
52,60146.99,761,193521.99,0,12.4,4875.8,78,approved
39,180734.97,699,325189.53,0,12.6,14667.23,72,approved
59,158831.56,758,449890.81,1,18.4,12868.42,77,approved
42,49705.85,689,154268.1,3,13.9,3945.84,61,approved
58,170159.61,837,341056.2,2,25.0,13674.97,81,approved
49,104588.14,744,455057.12,2,14.2,9107.47,74,approved
54,161296.11,697,248943.04,4,27.2,13812.5,87,approved
40,111785.17,745,315227.17,2,12.8,9161.87,100,approved
22,64963.33,778,145131.63,2,3.6,5577.97,90,approved
54,144309.65,806,465141.65,1,12.2,11691.02,84,approved
48,142037.41,814,446764.53,1,5.7,11972.89,91,approved
34,41588.51,347,74347.6,0,7.3,3568.24,9,rejected
44,154976.47,820,523154.87,0,23.6,12766.35,96,approved
54,155179.72,732,182682.22,5,16.6,12544.53,75,approved
26,38747.53,695,99978.26,1,6.5,3208.88,49,approved
56,54112.41,831,272127.72,1,17.6,4538.89,81,approved
25,55746.71,761,166384.64,4,3.3,4636.25,51,approved
38,39427.33,710,62165.2,1,14.6,3134.03,68,approved
33,75135.1,512,104858.46,1,8.5,6433.27,22,approved
63,60490.36,737,108900.71,2,32.3,4965.98,58,approved
59,46053.55,813,127783.14,5,33.1,4000.34,100,approved
40,80859.41,685,213406.04,0,13.5,6473.68,77,approved
29,43932.63,674,78404.18,0,6.8,3620.11,91,approved
59,80423.39,748,260032.78,1,22.6,6502.57,80,approved
43,79713.3,701,296667.06,3,16.5,6660.14,40,approved
39,186243.55,840,695026.71,2,14.0,15027.86,100,approved
26,38394.92,836,136737.06,4,6.0,3212.73,83,approved
31,189283.4,835,726406.77,2,9.4,15355.83,89,approved
36,65745.85,773,295667.95,1,11.2,5749.19,87,approved
28,34013.53,514,81720.19,2,6.7,2704.36,58,manual_review
30,163248.49,844,306653.35,2,7.6,12996.15,100,approved
22,27112.34,692,82704.45,2,2.4,2206.34,88,approved
30,78624.02,401,195463.67,2,5.6,6758.84,22,approved
54,90213.1,722,223705.21,2,3.2,7419.21,68,approved
31,108061.72,718,256524.57,2,6.8,9411.94,59,approved
44,25981.77,752,56488.77,0,14.9,2181.42,71,manual_review
59,107139.67,803,510663.36,0,31.0,9302.34,82,approved
41,178217.54,791,775570.97,2,17.3,14674.82,100,approved
26,42701.68,847,74719.12,2,5.7,3629.27,100,approved
53,185593.55,805,721963.0,3,22.8,15282.19,74,approved
46,139087.24,757,279209.79,3,13.1,11907.98,66,approved
60,105243.77,698,257919.18,2,33.5,8397.75,72,approved
41,61436.08,486,81531.36,0,21.7,5296.36,30,manual_review
26,31605.74,712,106123.81,0,1.9,2533.67,91,approved
27,52627.94,812,192426.47,1,6.0,4211.43,86,approved
56,67693.6,671,110278.86,0,32.6,5492.19,59,approved
28,44421.32,595,116143.27,1,5.4,3578.59,58,approved
23,39139.94,603,41993.88,0,2.9,3385.36,60,manual_review
25,55698.22,715,214441.64,1,2.7,4665.47,74,approved
61,81795.07,752,192824.47,1,21.6,6854.2,98,approved
30,78691.28,798,184677.35,1,5.9,6632.05,82,approved
44,40844.32,587,68040.03,1,12.9,3335.11,43,approved
30,28118.73,784,51131.28,4,11.0,2411.12,75,approved
30,156951.97,716,360610.22,3,10.5,12562.57,56,approved
46,151534.41,749,475207.04,2,16.5,12019.91,93,approved
53,127284.3,808,638332.61,1,21.7,10128.55,99,approved
29,38501.1,781,121989.97,0,7.0,3284.47,91,approved
44,75438.53,674,299473.77,3,6.5,6203.76,76,approved
57,93940.73,735,137733.73,1,21.9,7523.66,71,approved
60,176949.44,748,609053.4,0,13.4,15075.84,83,approved
40,68911.37,718,226616.05,2,16.6,5881.27,90,approved
61,185775.19,693,452281.55,1,18.4,16148.11,47,approved
51,145465.72,816,482647.55,1,24.6,11591.26,100,approved
60,156856.28,755,330265.57,2,26.2,12951.26,94,approved
45,186389.51,743,515753.62,2,13.9,16067.64,85,approved
61,133936.14,766,739206.13,3,27.0,10695.1,70,approved
48,197517.54,764,469687.78,4,11.5,16815.92,56,approved
52,136818.67,754,602413.88,0,24.4,11256.1,85,approved
54,83033.64,671,122871.59,1,6.7,6626.39,58,approved
61,79092.18,659,322228.38,1,18.0,6863.62,71,approved
65,127023.98,717,430265.28,1,32.6,11109.25,77,approved
28,41684.58,712,69546.31,2,5.4,3487.58,68,approved
59,62286.69,740,250878.42,3,23.1,5094.94,68,approved
41,50654.29,618,130631.29,1,13.4,4301.34,61,manual_review
33,25759.64,605,63980.46,0,9.5,2063.55,69,approved
61,100922.19,806,340482.25,1,40.0,8083.55,86,approved
56,175405.0,682,587079.05,1,31.2,13965.04,60,approved
49,53373.92,761,171459.1,1,13.7,4290.83,81,approved
25,27954.47,632,32816.8,0,4.0,2296.55,61,approved
51,180252.55,717,523043.04,1,23.6,15565.47,75,approved
52,148081.98,832,513121.23,0,21.1,12357.76,100,approved
64,113102.03,847,167732.09,2,24.6,9083.11,92,approved
43,46604.43,747,172740.0,2,13.2,3822.62,94,approved
48,142968.17,823,588566.63,1,16.7,11660.7,100,approved
59,55244.28,683,92523.42,3,27.9,4712.85,71,manual_review
38,53323.49,707,216373.57,1,13.8,4493.83,72,manual_review
65,135164.01,674,563933.67,1,28.9,11080.64,65,approved
61,57913.51,663,250926.09,1,12.5,4739.26,79,approved
65,152731.85,778,739181.74,1,25.2,12165.6,88,approved
58,146706.36,744,368269.9,1,8.2,11663.57,80,approved
52,152785.97,673,380472.76,3,12.2,13220.0,69,approved
59,155850.13,812,489888.95,4,29.3,13512.73,74,approved
41,170076.42,612,376498.45,1,15.8,14324.33,49,approved
56,88684.29,467,146705.71,2,7.6,7609.67,30,manual_review
41,155961.24,695,232943.25,1,15.5,13400.2,84,approved
59,83938.76,777,418266.7,1,34.3,6972.94,93,approved
45,72194.99,833,217420.21,1,21.2,5873.27,98,approved
37,61218.86,785,123568.47,2,7.5,5126.17,100,approved
64,134028.51,821,616723.28,1,23.3,10777.43,100,approved
65,65759.82,742,166942.17,1,22.5,5327.13,83,approved
51,66916.04,756,100171.2,2,13.7,5820.81,91,approved
51,97784.47,780,329768.98,3,4.9,8502.63,73,approved
53,187207.02,791,323337.27,2,24.6,15798.35,100,approved
34,49549.72,784,186218.93,2,6.0,3999.62,76,approved
37,66911.53,676,122971.97,2,9.1,5417.52,85,approved
38,104677.8,826,431556.26,1,16.4,9092.08,81,approved
48,147462.61,780,519101.39,1,30.0,11729.08,82,approved
51,74674.67,757,310868.33,2,22.5,6254.51,85,approved
61,74989.85,801,327407.22,1,27.3,6166.68,100,approved
56,172303.69,796,458365.41,4,26.9,13915.81,94,approved
38,49821.0,765,152086.98,2,11.4,4299.37,93,manual_review
56,130748.79,816,393814.91,2,24.1,10633.54,100,approved
32,77667.15,823,353253.71,2,8.6,6682.51,98,approved
42,62759.96,784,151103.66,3,7.9,5270.95,64,approved
57,137217.5,733,408295.38,2,39.0,11306.65,83,approved
45,145109.71,806,503926.6,2,11.6,12584.53,94,approved
38,78745.52,724,173384.7,2,8.4,6725.59,83,approved
60,49949.12,726,103252.41,1,20.3,4276.34,67,approved
51,68228.99,792,251261.75,4,14.0,5898.46,87,approved
60,46518.45,709,103417.49,3,17.7,4030.44,79,approved
25,69721.5,788,307378.38,2,4.9,6029.56,89,approved
22,28032.18,648,40181.85,0,3.1,2234.72,53,approved
52,91599.67,701,183712.35,3,21.3,7545.43,70,approved
53,87685.04,708,292846.96,0,25.6,7236.03,56,approved
39,48364.07,413,143422.99,0,8.0,4082.66,21,approved
31,71793.41,722,220413.94,2,13.0,6175.07,80,approved
60,149825.76,832,476775.35,1,29.7,12728.03,96,approved
65,107337.23,784,342976.61,3,36.6,8621.33,83,approved
36,81163.27,424,189437.32,0,8.1,6884.78,28,approved
31,64381.67,679,275290.13,0,4.3,5374.39,67,approved
36,25440.32,627,47780.39,1,13.6,2116.12,67,manual_review
59,71453.57,790,115251.59,1,22.9,5740.26,90,approved
50,184496.94,832,599081.45,1,25.3,15908.78,95,approved
29,27857.76,719,30490.27,0,8.6,2293.16,87,approved
25,43689.11,716,77469.84,2,2.2,3533.24,83,approved
61,126773.92,735,315219.58,4,18.9,10853.43,74,approved
51,140619.79,833,807825.27,0,25.9,11213.09,95,approved
27,30454.48,695,57793.73,2,5.5,2589.26,73,approved
33,143235.62,810,583023.37,4,8.6,12328.84,82,approved
63,71722.45,816,256670.3,3,15.2,5921.67,73,approved
59,156851.99,762,419648.93,1,27.4,13122.47,86,approved
43,167741.06,807,569384.32,1,17.7,13821.5,100,approved
30,56029.85,554,161816.4,3,6.9,4848.08,33,manual_review
32,72959.36,779,208144.91,0,12.7,6284.13,94,approved
32,49894.59,786,115366.81,1,9.0,3958.97,86,approved
33,72545.58,693,185018.76,3,11.8,6025.21,75,approved
40,198319.29,756,449728.35,4,21.5,16830.16,86,approved
26,39368.97,641,72244.79,3,3.7,3264.19,58,approved
50,195626.77,681,381683.6,1,12.1,16307.23,63,approved
27,74462.32,753,412210.04,0,4.9,6297.38,91,approved
50,177101.98,758,466709.29,0,19.8,14704.25,80,approved
57,48973.05,683,109161.27,0,22.4,4274.18,65,approved
55,132896.4,829,539448.91,2,6.8,11224.93,99,approved
50,64979.87,744,143687.36,3,19.1,5487.71,72,approved
57,195734.12,808,1039000.27,1,12.2,15518.76,88,approved
59,130493.91,599,198575.33,0,23.9,11358.73,55,approved
28,41350.62,679,59383.86,2,6.4,3422.41,67,approved
55,68616.13,841,190790.29,3,8.8,5536.35,95,approved
30,58587.05,736,126716.55,3,3.2,4669.29,79,approved
65,102291.85,828,459353.83,0,13.8,8807.36,90,approved
38,187941.92,806,845482.55,5,16.7,15834.59,95,approved
34,52106.73,826,88501.58,1,8.8,4501.49,79,approved
24,49994.06,701,153335.5,1,2.6,3961.25,70,approved
64,104622.73,694,288691.65,1,18.0,9090.77,58,approved
64,126054.37,833,624195.77,1,19.2,10022.24,87,approved
47,117437.78,819,232996.5,1,21.9,9689.49,100,approved
58,168789.06,839,659849.66,2,15.0,13782.51,93,approved
26,43647.04,840,143597.24,1,4.9,3569.89,84,approved
57,127827.28,794,367564.17,1,16.1,11048.02,86,approved
54,86112.34,715,234793.05,2,29.9,7459.59,86,approved
32,148466.19,810,280606.1,3,12.5,12179.23,76,approved
33,44976.52,634,100632.98,3,6.2,3718.11,58,approved
56,197529.01,819,816041.73,3,22.1,16651.58,99,approved
50,137305.42,809,405675.04,0,21.9,11513.44,92,approved
46,123288.14,719,464870.8,1,16.4,10088.12,90,approved
62,168517.9,752,743949.65,2,24.8,13423.16,82,approved
57,49133.62,709,130878.31,1,29.9,4277.41,60,approved
22,52444.02,596,101486.36,1,0.9,4446.47,55,approved
64,56030.81,843,121568.94,1,31.1,4583.63,100,approved
61,130167.3,830,242395.36,1,38.0,10703.43,90,approved
50,60226.73,777,174501.86,0,26.3,5007.07,98,approved
59,46870.66,685,187531.69,0,16.1,3756.26,57,manual_review
57,47633.51,414,114511.97,0,19.5,4056.15,37,approved
47,52272.89,788,174141.55,2,20.2,4399.64,100,approved
28,53306.99,689,105671.1,1,1.4,4439.4,70,approved
38,56806.59,703,86547.76,1,9.9,4778.5,66,approved
29,80946.26,797,167483.65,4,6.8,6837.08,71,approved
33,58671.52,757,91856.65,1,4.6,4816.36,72,approved
35,166652.61,762,604906.27,1,4.1,13913.44,100,approved
38,174163.32,680,555979.22,1,15.0,14549.6,71,approved
49,64448.35,754,118052.9,2,21.5,5516.45,79,approved
40,45041.17,731,148330.49,1,10.0,3821.15,65,manual_review
35,83855.85,749,211711.33,1,10.8,6995.59,96,approved
49,135146.54,817,203165.63,2,14.3,11554.53,87,approved
26,83190.15,783,501200.18,1,3.4,7233.08,94,manual_review
31,62360.0,595,115039.49,0,6.5,5009.03,56,approved
46,113433.88,815,182366.26,4,21.8,9235.31,84,approved
49,74570.82,848,151584.12,1,20.6,6149.32,100,approved
34,53729.95,845,175216.13,1,8.9,4405.4,100,approved
37,74504.45,754,168661.44,3,14.8,6342.73,66,approved
25,40390.88,619,113194.58,0,0.8,3434.02,70,manual_review
52,188842.32,675,596503.73,0,10.9,16111.74,69,approved
36,61860.42,845,155014.27,1,15.6,4933.43,100,approved
50,112214.01,828,488524.82,0,18.1,9593.67,100,approved
33,44943.51,789,177859.72,0,8.4,3637.78,100,approved
54,57791.09,732,154795.8,4,18.4,4932.38,68,approved
40,34981.14,341,67515.13,1,7.9,2837.39,10,manual_review
40,30563.08,804,91525.79,3,13.5,2548.56,100,approved
33,62017.96,796,307797.58,0,11.4,5028.21,100,approved
49,70586.57,711,231533.3,0,17.7,5835.15,82,approved
50,117885.48,796,293971.61,1,19.0,10111.87,81,approved
25,37961.62,664,144399.58,0,4.4,3278.73,59,manual_review
57,137717.59,841,483496.13,2,30.7,11475.68,90,approved
64,100339.66,819,508629.62,2,3.1,8411.31,94,approved
58,47524.21,602,83721.56,2,27.7,3832.83,74,manual_review
39,47235.53,713,120257.81,0,16.9,3841.78,74,approved
51,70741.42,706,184032.04,1,9.7,5927.35,69,approved
52,79826.58,388,287965.55,3,18.1,6442.47,3,approved
42,26027.22,714,82450.41,1,11.5,2204.78,73,approved
24,54403.88,826,143903.33,0,4.3,4580.58,100,approved
44,155726.71,670,637431.04,0,20.4,13519.22,71,approved
53,127783.32,785,525124.9,2,25.4,11051.67,83,approved
23,54706.85,686,226122.32,1,2.0,4699.32,63,manual_review
59,181530.31,826,370763.22,0,24.8,15773.87,100,approved
57,161069.7,700,305810.0,3,20.1,12941.94,58,approved
39,187782.11,699,823695.61,2,9.6,16172.1,65,manual_review
45,55829.67,445,173886.98,2,13.7,4879.62,26,manual_review
39,126316.85,518,418346.97,0,9.0,10736.17,30,approved
34,59244.73,609,166328.46,3,8.8,4906.95,58,approved
54,79933.65,762,251958.58,4,18.3,6403.2,56,approved
63,98147.46,763,446545.13,1,25.3,7926.06,75,approved
59,175853.08,765,882300.03,2,17.1,14737.64,81,approved
63,111543.35,828,258029.97,0,28.7,9685.7,86,approved
33,75398.68,735,188590.64,0,11.1,6461.42,71,approved
49,73848.27,724,192698.74,1,26.0,5930.44,79,approved
65,144217.95,586,307494.73,3,30.2,11426.17,48,manual_review
23,65223.19,684,109893.89,2,3.8,5584.45,72,approved
38,156624.18,707,380628.34,1,17.3,12903.31,85,approved
47,100598.28,746,305187.82,0,14.3,8131.88,68,approved
31,49677.82,686,237756.61,0,10.5,3974.45,63,approved
64,100098.4,766,366852.04,2,26.1,8675.21,100,approved
65,199359.47,775,1087859.84,1,18.2,16463.65,80,approved
46,179179.06,737,483196.65,4,12.6,15656.54,67,approved
